
#v3
1495838341.495379 2017-05-27T11:51:31.300Z G  43.329170 -71.608643 452.099752 0.000 0.000 0.0 *
1495838484.001306 2017-05-27T11:53:53.000Z A 709  0.392  0.629  0.824 -0.118  0.109  0.353  9.297  9.612  9.846 *
1495838485.001459 2017-05-27T11:53:54.000Z A 709  0.392  0.622  0.824 -0.079  0.110  0.392  9.297  9.594  9.885 *
1495838486.000706 2017-05-27T11:53:55.000Z A 709  0.431  0.627  0.824 -0.079  0.112  0.314  9.258  9.592  9.807 *
1495838487.001271 2017-05-27T11:53:56.000Z A 693  0.275  0.628  0.902 -0.118  0.112  0.275  9.258  9.602  9.846 *
1495838488.001354 2017-05-27T11:53:57.000Z A 710  0.471  0.629  0.941 -0.118  0.105  0.314  9.297  9.608  9.846 *
1495838489.001320 2017-05-27T11:53:58.000Z A 708  0.471  0.638  0.863 -0.118  0.098  0.275  9.336  9.594  9.846 *
1495838490.001382 2017-05-27T11:53:59.000Z A 710  0.431  0.632  0.863 -0.157  0.102  0.314  9.258  9.597  9.807 *
1495838491.001262 2017-05-27T11:54:00.000Z A 703  0.392  0.624  0.824 -0.118  0.114  0.314  9.375  9.608  9.846 *
1495838492.000353 2017-05-27T11:54:01.000Z A 694  0.392  0.628  0.863 -0.079  0.102  0.314  9.336  9.600  9.846 *
1495838493.000985 2017-05-27T11:54:02.000Z A 705  0.431  0.637  0.824 -0.275  0.107  0.353  9.297  9.609  9.846 *
1495838494.000927 2017-05-27T11:54:03.000Z A 695  0.431  0.623  0.784 -0.079  0.105  0.275  9.297  9.587  9.846 *
1495838495.001506 2017-05-27T11:54:04.000Z A 711  0.431  0.632  0.824 -0.079  0.114  0.314  9.375  9.605  9.964 *
1495838496.001114 2017-05-27T11:54:05.000Z A 712  0.431  0.624  0.824 -0.118  0.107  0.314  9.297  9.600  10.003 *
1495838497.001246 2017-05-27T11:54:06.000Z A 696  0.431  0.639  0.863 -0.157  0.105  0.314  9.258  9.597  9.846 *
1495838497.577204 2017-05-27T11:54:07.000Z G  43.329167 -71.608638 431.102376 11.561 0.074 2.2 *
1495838498.001397 2017-05-27T11:54:07.000Z A 710  0.392  0.621  0.824 -0.235  0.101  0.275  9.258  9.583  9.964 *
1495838499.001438 2017-05-27T11:54:08.000Z A 712  0.353  0.631  0.863 -0.079  0.106  0.314  9.336  9.613  10.003 *
1495838500.001304 2017-05-27T11:54:09.000Z A 710  0.392  0.622  0.863 -0.118  0.110  0.431  9.179  9.604  9.924 *
1495838501.000500 2017-05-27T11:54:10.000Z A 710  0.431  0.617  0.863 -0.079  0.108  0.314  9.336  9.609  9.807 *
1495838502.000460 2017-05-27T11:54:11.000Z A 703  0.392  0.625  0.784 -0.196  0.108  0.392  9.375  9.608  9.885 *
1495838503.000290 2017-05-27T11:54:12.000Z A 709  0.392  0.620  0.863 -0.079  0.114  0.353  9.297  9.604  9.924 *
1495838504.000858 2017-05-27T11:54:13.000Z A 708  0.431  0.628  0.902 -0.196  0.110  0.275  9.258  9.592  9.924 *
1495838505.001559 2017-05-27T11:54:14.000Z A 712  0.392  0.627  0.902 -0.118  0.112  0.353  9.336  9.588  9.846 *
1495838506.000664 2017-05-27T11:54:15.000Z A 710  0.392  0.623  0.824 -0.079  0.111  0.314  9.336  9.606  9.924 *
1495838507.000680 2017-05-27T11:54:16.000Z A 700  0.392  0.626  0.824 -0.118  0.111  0.314  9.218  9.601  9.885 *
1495838508.001517 2017-05-27T11:54:17.000Z A 712  0.353  0.616  0.863 -0.235  0.114  0.392  9.297  9.597  9.846 *
1495838509.000873 2017-05-27T11:54:18.000Z A 689  0.431  0.633  0.902 -0.235  0.105  0.353  9.218  9.595  9.964 *
1495838510.000845 2017-05-27T11:54:19.000Z A 710  0.431  0.627  0.863 -0.157  0.106  0.314  9.336  9.598  9.885 *
1495838511.001483 2017-05-27T11:54:20.000Z A 712  0.392  0.622  0.863 -0.039  0.120  0.392  9.258  9.590  9.846 *
1495838512.001522 2017-05-27T11:54:21.000Z A 688  0.471  0.617  0.863 -0.079  0.110  0.392  9.297  9.604  9.885 *
1495838513.000698 2017-05-27T11:54:22.000Z A 712  0.431  0.630  0.824 -0.235  0.107  0.314  9.375  9.614  9.924 *
1495838514.000743 2017-05-27T11:54:23.000Z A 705  0.392  0.624  0.824 -0.079  0.107  0.314  9.336  9.605  9.807 *
1495838515.000675 2017-05-27T11:54:24.000Z A 713  0.431  0.621  0.824 -0.196  0.103  0.314  9.179  9.593  9.807 *
1495838516.001450 2017-05-27T11:54:25.000Z A 709  0.392  0.628  0.863 -0.118  0.102  0.431  9.218  9.613  9.846 *
1495838517.000377 2017-05-27T11:54:26.000Z A 698  0.471  0.629  0.902 -0.118  0.110  0.353  9.375  9.603  9.846 *
1495838518.001004 2017-05-27T11:54:27.000Z A 707  0.431  0.629  0.863 -0.079  0.113  0.392  9.218  9.590  10.003 *
1495838519.000467 2017-05-27T11:54:28.000Z A 712  0.431  0.637  0.824 -0.157  0.102  0.392  9.258  9.611  9.846 *
1495838520.001513 2017-05-27T11:54:29.000Z A 709  0.353  0.617  0.824 -0.079  0.108  0.314  9.375  9.610  9.885 *
1495838521.001487 2017-05-27T11:54:30.000Z A 714  0.431  0.620  0.824 -0.118  0.112  0.392  9.140  9.610  9.885 *
1495838522.001113 2017-05-27T11:54:31.000Z A 697  0.392  0.620  0.863 -0.039  0.109  0.314  9.297  9.593  9.846 *
1495838523.000630 2017-05-27T11:54:32.000Z A 696  0.392  0.622  0.824 -0.079  0.116  0.314  9.179  9.594  9.964 *
1495838524.001434 2017-05-27T11:54:33.000Z A 712  0.392  0.627  0.941 -0.079  0.117  0.392  9.336  9.590  9.846 *
1495838525.000646 2017-05-27T11:54:34.000Z A 712  0.431  0.627  0.784 -0.118  0.101  0.314  9.297  9.617  10.042 *
1495838526.001385 2017-05-27T11:54:35.000Z A 709  0.471  0.622  0.824 -0.157  0.107  0.353  9.336  9.581  9.846 *
1495838527.001041 2017-05-27T11:54:36.000Z A 696  0.431  0.626  0.824 -0.157  0.113  0.353  9.297  9.591  9.846 *
1495838528.001510 2017-05-27T11:54:37.000Z A 700  0.431  0.627  0.784 -0.079  0.102  0.275  9.218  9.608  9.924 *
1495838529.001503 2017-05-27T11:54:38.000Z A 700  0.431  0.616  0.863 -0.157  0.108  0.353  9.297  9.610  9.885 *
1495838530.001450 2017-05-27T11:54:39.000Z A 711  0.353  0.629  0.902 -0.196  0.106  0.314  9.218  9.599  9.885 *
1495838531.001106 2017-05-27T11:54:40.000Z A 711  0.392  0.619  0.824 -0.118  0.091  0.275  9.336  9.624  9.885 *
1495838532.001441 2017-05-27T11:54:41.000Z A 701  0.431  0.619  0.863 -0.157  0.111  0.353  9.336  9.601  9.885 *
1495838533.000675 2017-05-27T11:54:42.000Z A 707  0.431  0.626  0.784 -0.079  0.109  0.275  9.375  9.615  9.885 *
1495838534.001095 2017-05-27T11:54:43.000Z A 711  0.431  0.624  0.863 -0.275  0.105  0.353  9.218  9.597  9.846 *
1495838535.000784 2017-05-27T11:54:44.000Z A 709  0.392  0.624  0.863 -0.196  0.113  0.314  9.336  9.594  9.846 *
1495838536.001118 2017-05-27T11:54:45.000Z A 711  0.431  0.626  0.824 -0.196  0.101  0.235  9.101  9.584  9.885 *
1495838537.001350 2017-05-27T11:54:46.000Z A 694  0.431  0.631  0.824 -0.157  0.104  0.353  9.258  9.600  9.846 *
1495838538.000489 2017-05-27T11:54:47.000Z A 692  0.471  0.626  0.863 -0.079  0.106  0.314  9.297  9.609  10.042 *
1495838539.001127 2017-05-27T11:54:48.000Z A 709  0.431  0.617  0.824 -0.079  0.104  0.275  9.258  9.596  9.807 *
1495838540.001524 2017-05-27T11:54:49.000Z A 711  0.471  0.620  0.863 -0.039  0.113  0.314  9.218  9.592  9.846 *
1495838541.001139 2017-05-27T11:54:50.000Z A 709  0.392  0.632  0.863 -0.196  0.103  0.275  9.297  9.603  9.924 *
1495838542.001136 2017-05-27T11:54:51.000Z A 702  0.353  0.629  0.863 -0.039  0.111  0.353  9.297  9.607  9.885 *
1495838543.001084 2017-05-27T11:54:52.000Z A 710  0.392  0.624  0.863 -0.157  0.129  0.431  9.297  9.597  9.846 *
1495838544.001467 2017-05-27T11:54:53.000Z A 709  0.431  0.640  0.863 -0.196  0.109  0.353  9.297  9.595  9.885 *
