
#v3
2017-06-24T11:36:57.000Z G  44.011608 -71.096930 530.839912 0.000 0.000 0 *
2017-06-24T11:36:57.000Z A 1 -1.177 -1.177  0.000 -0.745 -0.745  0.000  0.000  8.041  8.041 *
2017-06-24T11:40:02.000Z A 800 -4.786  0.049  3.256 -1.647  1.824  6.355  4.315  9.492  18.044 *
2017-06-24T11:40:03.000Z A 846 -4.903  0.088  3.295 -1.255  1.806  6.629  3.766  9.477  19.299 *
2017-06-24T11:40:04.000Z A 820 -4.158  0.024  2.746 -1.451  1.797  6.668  3.766  9.508  18.946 *
2017-06-24T11:40:05.000Z A 846 -4.864  0.091  3.295 -1.177  1.821  6.512  4.550  9.586  18.319 *
2017-06-24T11:40:05.000Z A 842 -4.393  0.044  3.138 -1.451  1.714  6.551  4.707  9.517  18.476 *
2017-06-24T11:40:07.000Z A 819 -4.825  0.057  3.334 -1.412  1.748  6.904  4.001  9.466  19.221 *
2017-06-24T11:40:08.000Z A 847 -3.962  0.147  3.060 -1.412  1.801  6.708  3.805  9.488  18.397 *
2017-06-24T11:40:09.000Z A 820 -4.354  0.096  2.707 -1.608  1.738  6.747  4.354  9.505  18.319 *
2017-06-24T11:40:10.000Z A 845 -5.021  0.038  3.256 -1.412  1.722  6.551  4.119  9.587  18.162 *
2017-06-24T11:40:10.000Z A 848 -4.668  0.072  3.177 -1.177  1.749  6.080  3.883  9.518  18.515 *
2017-06-24T11:40:12.000Z A 816 -4.197  0.087  3.883 -1.451  1.759  6.433  4.472  9.564  18.750 *
2017-06-24T11:40:13.000Z A 846 -4.080  0.058  3.177 -1.294  1.782  6.551  4.786  9.558  18.358 *
2017-06-24T11:40:14.000Z A 819 -4.237  0.040  2.942 -1.647  1.742  6.865  4.001  9.534  19.339 *
2017-06-24T11:40:15.000Z A 847 -4.276  0.107  3.217 -1.491  1.757  6.316  4.903  9.566  17.770 *
2017-06-24T11:40:15.000Z A 842 -4.629  0.103  3.138 -1.451  1.807  7.100  4.629  9.491  19.456 *
2017-06-24T11:40:17.000Z A 825 -4.040  0.117  3.177 -1.373  1.811  6.865  4.315  9.554  18.554 *
2017-06-24T11:40:18.000Z A 824 -5.296  0.095  3.295 -1.294  1.803  6.708  4.276  9.679  18.672 *
2017-06-24T11:40:19.000Z A 819 -4.550  0.079  2.981 -1.726  1.708  6.551  4.707  9.506  18.358 *
2017-06-24T11:40:20.000Z A 845 -4.864  0.079  3.138 -1.687  1.871  7.178  4.001  9.521  18.868 *
2017-06-24T11:40:20.000Z A 848 -4.354  0.093  2.981 -1.491  1.763  7.492  4.276  9.512  18.515 *
2017-06-24T11:40:22.000Z A 819 -4.040  0.135  3.295 -1.569  1.816  6.982  4.433  9.549  18.476 *
2017-06-24T11:40:23.000Z A 844 -4.354  0.076  3.530 -1.255  1.770  6.747  3.923  9.497  18.554 *
2017-06-24T11:40:24.000Z A 816 -4.590  0.083  2.707 -1.844  1.861  6.747  4.276  9.533  18.946 *
2017-06-24T11:40:25.000Z A 845 -4.237  0.094  3.413 -1.530  1.713  6.786  4.158  9.588  18.044 *
2017-06-24T11:40:25.000Z A 847 -4.080  0.019  2.981 -1.491  1.762  6.865  3.727  9.521  18.790 *
2017-06-24T11:40:27.000Z A 823 -4.472  0.103  3.727 -1.726  1.783  6.865  3.413  9.432  19.888 *
2017-06-24T11:40:28.000Z A 846 -5.021  0.034  3.570 -1.491  1.819  7.335  3.452  9.521  18.201 *
2017-06-24T11:40:29.000Z A 820 -4.864  0.097  3.217 -1.530  1.731  6.629  4.825  9.632  18.123 *
2017-06-24T11:40:30.000Z A 842 -4.511  0.104  3.099 -1.491  1.737  7.139  4.080  9.577  18.515 *
2017-06-24T11:40:30.000Z A 847 -4.825  0.058  3.530 -1.687  1.788  6.512  4.550  9.582  17.927 *
2017-06-24T11:40:32.000Z A 821 -4.629  0.044  3.099 -1.530  1.830  7.061  4.354  9.580  19.888 *
2017-06-24T11:40:33.000Z A 845 -4.354  0.086  3.295 -1.491  1.753  6.904  3.530  9.496  18.946 *
2017-06-24T11:40:34.000Z A 810 -3.883  0.044  2.824 -1.412  1.863  6.786  4.040  9.503  18.476 *
2017-06-24T11:40:35.000Z A 846 -4.668  0.087  3.177 -1.765  1.706  6.668  4.276  9.578  18.554 *
2017-06-24T11:40:35.000Z A 838 -4.315  0.071  3.256 -1.765  1.783  6.904  4.158  9.528  19.221 *
2017-06-24T11:40:37.000Z A 820 -5.609  0.111  2.981 -1.451  1.731  6.943  3.491  9.616  19.103 *
2017-06-24T11:40:38.000Z A 847 -5.413  0.067  3.020 -1.491  1.806  6.786  3.805  9.546  18.554 *
2017-06-24T11:40:39.000Z A 820 -4.040  0.045  2.864 -1.334  1.735  6.747  4.393  9.466  18.554 *
2017-06-24T11:40:40.000Z A 845 -4.590  0.091  3.138 -1.412  1.743  6.786  4.550  9.572  18.554 *
